Description,First,Second,My,WuPalmer,Resnik,Lin,BERT,FirstDefinition,SecondDefinition
The Jumbo restaurant capsized in the South China Sea days after it was towed out of the harbour.,harbour,china,0.2,0.32,0.12,0.12,0.26,a place of refuge and comfort and security,a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
Risky escape routes have opened up for Ukrainians - including driving through Russia to Georgia.,escape,routes,0.1,0.35,0.12,0.15,0.71,a valve in a container in which pressure can build up (as a steam boiler); it opens automatically when the pressure reaches a dangerous level,an established line of travel or access
"The quarter-finals of Euro 2022 start on Wednesday when England take on Spain, but who poses the biggest challenge to England's campaign for the trophy?",start,spain,0,0.11,0,0,0.26,the act of starting something,a parliamentary monarchy in southwestern Europe on the Iberian Peninsula; a former colonial power
The Prince and Princess of Wales hop on the Elizabeth Line to a Soho pub to get some lessons.,lessons,prince,0,0.11,0,0,0.21,a unit of instruction,a male member of a royal family other than the sovereign (especially the son of a sovereign)
A Maharashtra village switches off TV and internet for a few hours daily - and the results are worth it.,maharashtra,tv,0,0.35,0,0,0.33,a historical area in west-central India,broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
The plans would have required many frontline officers and staff to remove beards and moustaches.,officers,plans,0,0.4,0.23,0.2,0.44,any person in the armed services who holds a position of authority or command,scale drawing of a structure
Some Muslims have been struggling to afford food to break their fasts amid the soaring cost of living.,living,food,0,0.31,0.07,0.07,0.54,the financial means whereby one lives,anything that provides mental stimulus for thinking
"The drones are launched from Lebanon, amid border tensions between the nations.",lebanon,drones,0,0.32,0,0,0.35,an Asian republic at east end of Mediterranean,someone who takes more time than necessary; someone who lags behind
"The BBC has followed families who have moved from Hong Kong to the UK, to see if life is everything they hoped for.",families,life,0.2,0.71,0.27,0.29,0.53,a person having kinship with another or others,a living person
"On 24 February 2022, Vladimir Putin sent troops into Ukraine, hoping to take over the country in a matter of days.",putin,troops,0.4,0.12,0,0,0.35,Russian statesman chosen as president of the Russian Federation in 2000; formerly director of the Federal Security Bureau (born in 1952),a group of soldiers
Nottingham Panthers' Adam Johnson dies after suffering a cut to his neck from a skate in a Challenge Cup match against the Sheffield Steelers.,match,challenge,0.2,0.17,0,0,0.42,a person who is of equal standing with another in a group,a demand by a sentry for a password or identification
"With almost all Welsh results in, Tories speak of ""pain"" and both Labour and Plaid Cymru make gains.",labour,gains,0.1,0.15,0,0,0.49,concluding state of pregnancy; from the onset of contractions to the birth of a child,the advantageous quality of being beneficial
Just 15 were alive after the stranding and vets had to euthanise the survivors on welfare grounds.,welfare,grounds,0,0.32,0.32,0.33,0.51,governmental provision of economic assistance to persons in need,the first or preliminary coat of paint or size applied to a surface
"Ferrari driver Charles Leclerc says Formula 1 dropping the Monaco Grand Prix would be a ""bad move"".",monaco,driver,0,0.3,0,0,0.34,a constitutional monarchy in a tiny enclave on the French Riviera,a golf club (a wood) with a near vertical face that is used for hitting long shots from the tee
Analysis of three attacks in the city of Chernihiv may offer clues about Putin's tactics in Ukraine.,putin,clues,0,0.14,0,0,0.27,Russian statesman chosen as president of the Russian Federation in 2000; formerly director of the Federal Security Bureau (born in 1952),evidence that helps to solve a problem
Argentina are outsiders for their Rugby World Cup semi-final and New Zealand's accuracy and desire make it hard to argue with the bookmakers' odds.,zealand,odds,0,0.15,0,0,0.31,the largest island of Denmark and the site of Copenhagen,the likelihood of a thing occurring rather than not occurring
"Greg Norman says ""we've all made mistakes"" as he fields questions on Saudi Arabia's human rights record and the murder of dissident journalist Jamal Khashoggi.",saudi,murder,0,0.1,0,0,0.35,a native or inhabitant of Saudi Arabia,unlawful premeditated killing of a human being by a human being
“We won’t move!” – The first ‘forced removals’ of apartheid-era South Africa,south,africa,0.4,0.13,0,0,0.56,the cardinal compass point that is at 180 degrees,the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean
The BBC gains exclusive access to illegal moneylenders who are charging interest rates of up to 50%.,rates,access,0.1,0.21,0.07,0.06,0.41,amount of a charge or payment relative to some basis,the act of approaching or entering
The snackable sovereign is made from marshmallows and chocolate.,chocolate,sovereign,0.1,0.31,0.06,0.08,0.43,a beverage made from cocoa powder and milk and sugar; usually drunk hot,a nation's ruler or head of state usually by hereditary right
The dominance of Truss campaign supporters in cabinet is already prompting grumbling among some Tory MPs.,supporters,tory,0.2,0.42,0.13,0.13,0.44,a support for the genitals worn by men engaging in strenuous exercise,an American who favored the British side during the American Revolution
Fernando Alonso rejects the idea that he could start the Bahrain Grand Prix from pole position despite setting the pace in Friday practice.,pace,idea,0,0.31,0.06,0.09,0.26,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride,the content of cognition; the main thing you are thinking about
The US has sued Amazon for allegedly manipulating customers during the Prime sign-up process.,amazon,us,0.4,0.1,0,0,0.26,(Greek mythology) one of a nation of women warriors of Scythia (who burned off the right breast in order to use a bow and arrow more effectively),North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
"Karen and Lauren say their ""therapeutic"" way of life has become a ""living hell"".",living,karen,0,0.27,0.08,0.06,0.23,the experience of being alive; the course of human events and activities,the Tibeto-Burman language spoken in the Thailand and Burmese borderlands
"Watch the best shots from the opening day of The Hundred 2023, featuring Sam Hain, Anya Shrubsole and Smriti Mandhana.",sam,shots,0,0.78,0.67,0.71,0.39,a guided missile fired from land or shipboard against an airborne target,a solid missile discharged from a firearm
"Crops are being brought from occupied parts of Ukraine to Russia, farmers tell BBC News.",ukraine,crops,0,0.38,0,0,0.33,a republic in southeastern Europe; formerly a European soviet; the center of the original Russian state which came into existence in the ninth century,the stock or handle of a whip
The first ever reduction in care worker numbers means more people are struggling to find the support they need.,reduction,support,0.1,0.59,0.31,0.3,0.38,the act of decreasing or reducing something,aiding the cause or policy or interests of
"After the elected president is overthrown, here’s why it matters for the region, Russia and the West.",president,s,0,0.12,0,0,0.22,the person who holds the office of head of state of the United States government,the cardinal compass point that is at 180 degrees
Organisers did not want “to offer a platform” to far-right minister Itamar Ben-Gvir.,platform,minister,0,0.4,0.15,0.15,0.56,the combination of a particular computer and a particular operating system,a person authorized to conduct religious worship
"From Beyoncé and Harry Styles to Eliza Rose and Cat Burns, here are some of the years top tracks.",burns,tracks,0,0.75,0.68,0.72,0.33,pain that feels hot as if it were on fire,evidence pointing to a possible solution
Police have seized drugs and weapons following operations against drug gangs in three states.,weapons,operations,0,0.27,0.12,0.11,0.48,any instrument or instrumentality used in fighting or hunting,(computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction)
The real reasons companies are making an extra effort to find out if their staff are happy or not.,companies,staff,0.2,0.75,0.72,0.72,0.56,crew of a ship including the officers; the whole force or personnel of a ship,personnel who assist their superior in carrying out an assigned task
Chris Sutton takes on rapper Juice Menace to pick his winners and losers for the weekend's Premier League games.,menace,games,0,0.31,0.08,0.08,0.29,something that is a source of danger,animal hunted for food or sport
"Dr Martin Hanbury tells BBC he quit his role this week concerned it could cause ""more harm than good.""",harm,role,0,0.22,0.08,0.08,0.26,any physical damage to the body caused by violence or accident or fracture etc.,an actor's portrayal of someone in a play
Providers are leapfrogging each other on top savings rates as they try to raise money to lend.,money,providers,0,0.14,0,0,0.42,the most common medium of exchange; functions as legal tender,someone whose business is to supply a particular service or commodity
George Cohen will forever be immortalised as one of just 11 men to start and win a football World Cup final with England.,george,men,0.8,0.48,0.23,0.27,0.54,Christian martyr; patron saint of England; hero of the legend of Saint George and the Dragon in which he slew a dragon and saved a princess (?-303),all of the living human inhabitants of the earth
"In a speech about birth rates, the agriculture minister uses a phrase linked to white supremacists.",birth,speech,0.2,0.57,0.2,0.23,0.29,the event of being born,the act of delivering a formal spoken communication to an audience
"Julian Knight strongly denies any wrongdoing, after police dropped an investigation into him.",knight,investigation,0,0.12,0,0,0.23,originally a person of noble birth trained to arms and chivalry; today in Great Britain a person honored by the sovereign for personal merit,the work of inquiring into something thoroughly and systematically
"A profile of Liz Truss, who is bidding to be the next Tory leader and prime minister.",tory,minister,0.1,0.57,0.2,0.22,0.51,an American who favored the British side during the American Revolution,a person authorized to conduct religious worship
Namit Malhotra started his company from a garage in Mumbai. Now it's winning Academy Awards.,awards,mumbai,0,0.12,0,0,0.33,a tangible symbol signifying approval or distinction,a city in western India just off the coast of the Arabian Sea; India's 2nd largest city (after Calcutta); has the only natural deep-water harbor in western India
At least 26 schools in five cities are affected by another wave of apparent toxic gas attacks.,schools,gas,0,0.25,0.1,0.09,0.36,a building where young people receive education,the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
"In 18 months of war, Ukraine has learnt new ways to integrate technology into the modern battlefield.",battlefield,technology,0,0.12,0,0,0.41,a region where a battle is being (or has been) fought,the practical application of science to commerce or industry
Watch Karolina Lea Vilhjalmsdottir fire in a volley to give Iceland an early lead against Italy at the Manchester City Academy Stadium.,manchester,academy,0.2,0.33,0.12,0.12,0.43,largest city in New Hampshire; located in southeastern New Hampshire on the Merrimack river,a learned establishment for the advancement of knowledge
"Men must defend the rights of Afghan women and girls, a professor at a Kabul university says.",men,university,0.1,0.47,0.25,0.21,0.39,an adult person who is male (as opposed to a woman),"establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching"
"Fewer than five patients have been prescribed whole-cannabis medicine, despite it becoming legal in 2018.",patients,medicine,0,0.5,0.24,0.27,0.57,a person who requires medical care,(medicine) something that treats or prevents or alleviates the symptoms of disease
Cancer centres and children's hospitals among services affected by 15 and 20 December walkouts.,cancer,children,0,0.67,0.21,0.26,0.5,(astrology) a person who is born while the sun is in Cancer,a human offspring (son or daughter) of any age
"Experts believe that while additional US aid can help Ukraine fight back, more is still needed.",fight,us,0,0.21,0.06,0.06,0.39,a boxing or wrestling match,a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
Critics say India's ruling government is using bulldozers to intimidate the minority Muslim community.,government,ruling,0.2,0.27,0.09,0.07,0.79,the organization that is the governing authority of a political unit,the reason for a court's judgment (as opposed to the decision itself)
"The Sea King may be old, but the Ukrainian military say it will help in the war, the BBC is told.",war,king,0,0.57,0.36,0.34,0.46,a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply,preeminence in a particular category or group or field
"BBC Sport reviews round three of the Women's Six Nations, examining the potential for a concerning scoreline plus the lack of self-belief hampering one side.",lack,women,0,0.31,0.07,0.07,0.26,the state of needing something that is absent or unavailable,women as a class
Watch highlights of day three at Edgbaston as Jonny Bairstow makes another stunning century.,day,watch,0,0.75,0.89,0.76,0.35,the recurring hours when you are not sleeping (especially those when you are working),a period of time (4 or 2 hours) during which some of a ship's crew are on duty
Japan's fans stay behind after their team's memorable win over Germany to clean up the stadium.,win,stadium,0,0.12,0,0,0.42,something won (especially money),a large structure for open-air sports or entertainments
"Ukraine's president speaks of an inevitable process, hours after buildings were hit in the Russian capital.",process,ukraine,0,0.12,0,0,0.29,a particular course of action intended to achieve a result,a republic in southeastern Europe; formerly a European soviet; the center of the original Russian state which came into existence in the ninth century
Chris Heaton-Harris addresses unionist concerns as a new system for post-Brexit trade is implemented.,addresses,system,0,0.29,0.06,0.07,0.31,social skill,a group of independent but interrelated elements comprising a unified whole
"England manager Gareth Southgate jokes his players will be ""tapping up"" team-mates while on international duty.",england,duty,0,0.12,0,0,0.25,a division of the United Kingdom,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr
"""I just want to say now, I have no new music,"" says the star as he headlines the Latitude Festival.",latitude,star,0.4,0.5,0.38,0.42,0.4,the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself,a plane figure with 5 or more points; often used as an emblem
Aaron Smith scores a 33-minute hat-trick as New Zealand thrash Italy in Pool A to move to the cusp of the World Cup quarter-finals.,italy,cup,0,0.2,0.07,0.08,0.53,a republic in southern Europe on the Italian Peninsula; was the core of the Roman Republic and the Roman Empire between the 4th century BC and the 5th century AD,a punch served in a pitcher instead of a punch bowl
Manchester United boss Erik ten Hag is keen to find a replacement for Cristiano Ronaldo when the transfer window opens next month.,manchester,boss,0,0.3,0.12,0.13,0.45,largest city in New Hampshire; located in southeastern New Hampshire on the Merrimack river,a person who exercises control over workers
"Ministers say they are committed to the legislation, which came into force days before the Coronation.",ministers,force,0,0.56,0.22,0.24,0.37,the job of a head of a government department,an act of aggression (as one against a person who resists)
"Ratings agency says ""predictability has been restored"" following last year's mini-Budget.",agency,year,0,0.57,0.46,0.47,0.46,an administrative unit of government,a body of students who graduate together
Aston Villa agree a deal to sign Brazil centre-back Diego Carlos from Sevilla for £26m.,sevilla,brazil,0.3,0.29,0,0,0.36,a city in southwestern Spain; a major port and cultural center; the capital of bullfighting in Spain,three-sided tropical American nut with white oily meat and hard brown shell
Sexual Minorities Uganda (Smug) decried the move as a 'witch hunt' targeting the LGBT community.,hunt,move,0.2,0.25,0.05,0.07,0.5,an association of huntsmen who hunt for sport,the act of changing location from one place to another
Authorities are stopping anyone taking photos at the Shanghai Covid protest site.,site,authorities,0,0.48,0.23,0.24,0.44,a computer connected to the internet that maintains a series of web pages on the World Wide Web,an authoritative written work
"Sweden beat Argentina to make it three wins from three at the 2023 Fifa Women's World Cup, setting up a mouth-watering last-16 meeting with the USA.",meeting,women,0,0.15,0,0,0.18,a place where things merge or flow together (especially rivers),women as a class
The channel was forced to close in March over its coverage of the war in Ukraine.,channel,ukraine,0,0.11,0,0,0.33,a way of selling a company's product either directly or via distributors,a republic in southeastern Europe; formerly a European soviet; the center of the original Russian state which came into existence in the ninth century
"Europe's first dedicated black music station, Dread Broadcasting Corporation",broadcasting,dread,0,0.12,0,0,0.41,taking part in a radio or tv program,fearful expectation or anticipation
Data shared exclusively with the BBC show large numbers of oil and gas lobbyists attending COP27.,gas,data,0,0.17,0,0,0.23,a fossil fuel in the gaseous state; used for cooking and heating homes,a collection of facts from which conclusions may be drawn
Even Sarina Wiegman is surprised by how successful her tenure has been so far with England - so how much has she transformed the Euro 2022 finalists in 10 months?,tenure,months,0.6,0.77,0.41,0.48,0.48,the term during which some position is held,one of the twelve divisions of the calendar year
"A Nepali sherpa guide carried the man on his back for six hours during the ""very rare"" high-altitude rescue.",guide,hours,0,0.11,0,0,0.5,someone employed to conduct others,clock time
All you need to know as one of the most competitive Six Nations tournaments in recent years begins with a blockbuster day of action on Saturday.,action,blockbuster,0,0.12,0,0,0.65,something done (usually as opposed to something said),a large bomb used to demolish extensive areas (as a city block)
Actress Clara Darcy says she is grateful for having had a rare form of brain cancer.,actress,cancer,0,0.44,0.21,0.16,0.3,a female actor,a small zodiacal constellation in the northern hemisphere; between Leo and Gemini
Wales' Celtic language speaking cousins in France copied the tune of the Welsh national anthem.,france,welsh,0.9,0.12,0,0,0.39,French writer of sophisticated novels and short stories (1844-1924),a Celtic language of Wales
The band's exit to their set at Radio 1's Big Weekend has caused a lot of controversy.,band,radio,0.1,0.12,0,0,0.34,an unofficial association of people or groups,an electronic receiver that detects and demodulates and amplifies transmitted signals
"Wayne Rooney says Manchester City manager Pep Guardiola is ""one of the best things to happen to English football"".",manchester,pep,0.2,0.11,0,0,0.43,largest city in New Hampshire; located in southeastern New Hampshire on the Merrimack river,liveliness and energy
The government suffered a series of heavy defeats to its Public Order Bill in the House of Lords.,government,bill,0.1,0.2,0.09,0.07,0.51,the organization that is the governing authority of a political unit,the entertainment offered at a public presentation
The BBC visits the heartland of Deputy President William Ruto as he vies for the presidency.,deputy,heartland,0,0.35,0.12,0,0.35,a person appointed to represent or act on behalf of others,the central region of a country or continent; especially a region that is important to a country or to a culture
Eight-time European champions Germany defeat Spain to secure top spot in Group B and avoid a Euro 2022 quarter-final tie with England.,defeat,germany,0,0.12,0,0,0.34,an unsuccessful ending to a struggle or contest,a republic in central Europe; split into East Germany and West Germany after World War II and reunited in 1990
Writer Edwin Flay describes what motivated him to create a play about the serial killer GP.,play,gp,0,0.11,0,0,0.33,a preset plan of action in team sports,a physician who is not a specialist but treats all illnesses
"Oath Keepers founder Stewart Rhodes gets the longest sentence yet for his part on January 6, 2021.",stewart,rhodes,0.6,0.57,0.19,0.18,0.56,United States film actor who portrayed incorruptible but modest heros (1908-1997),British colonial financier and statesman in South Africa; made a fortune in gold and diamond mining; helped colonize the territory now known as Zimbabwe; he endowed annual fellowships for British Commonwealth and United States students to study at Oxford University (1853-1902)
"Neon green bolero jackets, a piano fit for a princess and other highlights from Eurovision 2023 in Liverpool.",piano,princess,0.1,0.14,0,0,0.52,(music) low loudness,a female member of a royal family other than the queen (especially the daughter of a sovereign)
The airline says cancellations are required to provide reliable services in the busy holiday period.,airline,period,0,0.27,0.05,0.08,0.33,a commercial enterprise that provides scheduled flights for passengers,an amount of time
Turning round the Met's reputation will require all Sir Mark Rowley's determination and skill.,sir,skill,0.1,0.14,0,0,0.4,a title used before the name of knight or baronet,ability to produce solutions in some problem domain
"Most Tory MPs rallied behind Boris Johnson, but one senior backbencher called on the leader to quit.",johnson,mps,0,0.57,0.22,0.19,0.49,English writer and lexicographer (1709-1784),a member of the military police who polices soldiers and guards prisoners
"In the past month, 21 ships have left Ukraine's ports laden with grain. A lot is going to Ethiopia.",ships,grain,0.1,0.22,0.1,0.09,0.49,a vessel that carries passengers or freight,foodstuff prepared from the starchy grains of cereal grasses
"The tightening of regulations may lead to criminal records for those flouting them, a new policy says.",policy,regulations,1,0.5,0.44,0.4,0.63,written contract or certificate of insurance,an authoritative rule
"Across Africa, extreme Christianity is threatening the faith of many.",africa,christianity,0,0.13,0,0,0.44,the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean,a monotheistic system of beliefs and practices based on the Old Testament and the teachings of Jesus as embodied in the New Testament and emphasizing the role of Jesus as savior
A 42-year-old man has been arrested on suspicion of assault after an alleged incident during Arsenal's 3-1 win over Manchester United on Sunday,arsenal,assault,0,0.3,0.12,0.13,0.24,all the weapons and equipment that a country has,thoroughbred that won the triple crown in 1946
"Follow the King's Coronation order of service, line by line.",order,coronation,0.2,0.29,0.1,0.06,0.38,logical or comprehensible arrangement of separate elements,the ceremony of installing a new monarch
We've rounded up some of the under-the radar moments from counts across the UK.,counts,radar,0,0.36,0.15,0.14,0.26,a nobleman (in various countries) having rank equal to a British earl,measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects
Great Britain's Keely Hodgkinson defends her 800m title in style before team captain Jazmin Sawyers wins a stunning long jump gold at the European Indoor Championships in Istanbul.,jump,great,0,0.13,0,0,0.17,(film) an abrupt transition from one scene to another,a person who has achieved distinction and honor in some field
"Three years after winning in the High Court, hundreds of sub-postmasters are still waiting for compensation.",hundreds,compensation,0.1,0.27,0.08,0.06,0.46,ten 10s,(psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors
Scotland's first minister reacted after Elon Musk commented on an edited clip of a speech he gave in 2020.,clip,speech,0.3,0.57,0.28,0.27,0.47,an instance or single occasion for some event,the act of delivering a formal spoken communication to an audience
The deadly earthquakes in Turkey and Syria are having a devastating impact on people's mental health.,syria,turkey,1,0.11,0,0,0.72,an Asian republic in the Middle East at the east end of the Mediterranean; site of some of the world's most ancient centers of civilization,an event that fails badly or is totally ineffectual
Thursday's front pages include tributes to TV star and comedian Paul O'Grady.,star,pages,0,0.12,0,0,0.23,the topology of a network whose components are connected to a hub,United States diplomat and writer about the Old South (1853-1922)
The inaccessibility of Canterbury Cathedral roof could make it the good place to find space matter.,roof,place,0.3,0.38,0.13,0.14,0.44,a protective covering that covers or forms the top of a building,a space reserved for sitting (as in a theater or on a train or airplane)
"As rebels step up attacks, the government has responded with air strikes in the Oromia region.",air,rebels,0,0.11,0,0,0.45,travel via aircraft,`Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms
"Aslef train drivers announce another overtime ban, while members of the RMT will walk out later this week.",week,train,0,0.31,0.07,0.07,0.43,hours or days of work in a calendar week,a procession (of wagons or mules or camels) traveling together in single file
The shooter was said to have targeted Shinzo Abe for allegedly having ties to a controversial group.,shooter,group,0.1,0.25,0.06,0.08,0.36,a large marble used for shooting in the game of marbles,(chemistry) two or more atoms bound together as a single unit and forming part of a molecule
Health-tech firms around the world are increasingly using AI to help tailor drugs for patients.,patients,drugs,0.1,0.15,0,0,0.72,the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause,a substance that is used as a medicine or narcotic
Argentina has broken a co-operation deal and is calling for talks over the sovereignty of the Falklands.,sovereignty,argentina,0.1,0.25,0.05,0.05,0.39,royal authority; the dominion of a monarch,type genus of the Argentinidae: argentines
"As the number of breast reductions rises, women open up on their experience of having bigger breasts.",breasts,women,0.2,0.31,0.05,0.06,0.56,meat carved from the breast of a fowl,women as a class
A 19-year-old Irish woman living in Sumy is trying to leave the country amid Russian attacks.,country,irish,0.3,0.91,1,0.78,0.39,the people who live in a nation or country,people of Ireland or of Irish extraction
Four-time champion John Higgins is made to work hard for his 10-7 first-round win over Thepchaiya Un-Nooh at the World Championship in Sheffield.,john,world,0,0.59,0.38,0.4,0.53,(New Testament) disciple of Jesus; traditionally said to be the author of the 4th Gospel and three epistles and the book of Revelation,all of your experiences that determine how things appear to you
"Kate Jayden, from Derbyshire, finished her final run on 15 April, despite suffering a broken knee.",run,knee,0,0.46,0.44,0.41,0.24,a small stream,joint between the femur and tibia in a quadruped; corresponds to the human knee
One of England's most famous grounds is set for a major upgrade now Luton Town are promoted.,town,upgrade,0,0.4,0.17,0.16,0.25,an urban area with a fixed boundary that is smaller than a city,an upward slope or grade (as in a road)
Manchester City striker Erling Haaland and Liverpool manager Jurgen Klopp star in the weekend's funniest moments from Match of the Day 2's '2 Good 2 Bad'.,liverpool,day,0,0.15,0,0,0.2,a large city in northwestern England; its port is the country's major outlet for industrial exports,"the time for one complete rotation of the earth relative to a particular star, about 4 minutes shorter than a mean solar day"
"Drone footage captures the devastation after a tornado hits Rolling Fork, Mississippi.",fork,footage,0,0.33,0.11,0.1,0.22,the angle formed by the inner sides of the legs where they join the human trunk,film that has been shot
"The list of who can get free tests after 1 April in England is now out, but most people will have to pay.",list,england,0,0.12,0,0,0.29,a database containing an ordered array of items (names or topics),a division of the United Kingdom
Prosecutors say there is insufficient evidence for criminal charges in fatal shooting of Amir Locke.,prosecutors,charges,0.1,0.13,0,0,0.53,a government official who conducts criminal prosecutions on behalf of the state,(criminal law) a pleading describing some wrong or offense
Five French soldiers are accused of failing to help during the incident when 27 people died.,soldiers,incident,0,0.13,0,0,0.58,an enlisted man or woman who serves in an army,a single distinct event
"Animal bones found at the bottom of the pits are used to identify them as about 8,000 years old.",animal,bottom,0,0.31,0.16,0.14,0.37,a living organism characterized by voluntary movement,the fleshy part of the human body that you sit on
"Watch as Cambodia's Bou Samnang digs deep to finish the women's 5,000m nearly six minutes after the winner in torrential rain at the Southeast Asian Games in Phnom Penh.",rain,southeast,0,0.32,0.3,0.28,0.13,drops of fresh water that fall as precipitation from clouds,the compass point midway between south and east; at 135 degrees
How the billionaire's purchase of Twitter has changed the platform and what the future may hold.,future,purchase,0.1,0.27,0.09,0.08,0.3,bulk commodities bought or sold at an agreed price for delivery at a specified future date,the mechanical advantage gained by being in a position to use a lever
"As the festival gates open, we look at the songs that could give us a ""Glastonbury moment"" this year.",year,songs,0.1,0.27,0.09,0.07,0.35,a period of time containing 365 (or 366) days,the act of singing
"The Academy Awards return this Sunday, but they face a battle to raise their viewing figures.",battle,figures,0.1,0.59,0.32,0.29,0.31,an open clash between two opposing groups (or individuals); --Thomas Paine,a predetermined set of movements in dancing or skating
Humza Yousaf has made history as the first Muslim to lead a country in western Europe.,history,muslim,0.1,0.15,0,0,0.34,a record or narrative description of past events,a believer in or follower of Islam
"Laura Muir and Jemma Reekie have unexpectedly cut short their altitude training camp, leaving long-term coach Andy Young in South Africa.",coach,muir,0.6,0.57,0.25,0.2,0.27,(sports) someone in charge of training an athlete or a team,United States naturalist (born in England) who advocated the creation of national parks (1838-1914)
"After criticism of its use at Euro 2022, Manchester City's Academy Stadium proves size is not everything as Iceland bring the Viking clap and their prime minister to Euro 2022.",clap,use,0.2,0.53,0.2,0.24,0.37,a sudden very loud noise,the act of using
England have to settle for a draw in the first Test against West Indies despite a spirited performance on the final day in Antigua.,test,day,0,0.13,0,0,0.67,the act of testing something,United States writer best known for his autobiographical works (1874-1935)
Football Focus pays tribute to Queen Elizabeth II by looking back at her connection with the national sport.,ii,connection,0.1,0.24,0.09,0.08,0.39,the cardinal number that is the sum of one and one or a numeral representing this number,the act of bringing two things into contact (especially for communication)
Former footballer Pat Nevin has spoken for the first time about his grown-up son's autism diagnosis.,footballer,autism,0,0.12,0,0,0.24,an athlete who plays American football,(psychiatry) an abnormal absorption with the self; marked by communication disorders and short attention span and inability to treat others as people
"Thomas Tuchel says there are ""no regrets"" after holders Chelsea were knocked out of the Champions League by Real Madrid in a classic clash.",madrid,holders,0,0.32,0.09,0.11,0.39,the capital and largest city situated centrally in Spain; home of an outstanding art museum,a person who holds something
"The Swedish star explains why she's rejected the slick, corporate Spotify sound to follow her gut.",gut,slick,0,0.14,0,0,0.55,a narrow channel or strait,a slippery smoothness
Hurdler Devon Allen reports for duty with the NFL's Philadelphia Eagles - nine days after suffering a disappointing exit at the World Athletics Championships.,eagles,championships,0.2,0.11,0,0,0.3,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,a competition at which a champion is chosen
Laura Kuenssberg on why her guest this Sunday faces a whole new set of political and economic challenges.,set,guest,0,0.63,0.4,0.37,0.25,any electronic equipment that receives or transmits radio or tv signals,(computer science) any computer that is hooked up to a computer network
"Britain left India 75 years ago and the country became two separate states, India and Pakistan.",britain,country,1,0.89,0.6,0.75,0.44,a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom,the territory occupied by a nation
A jail sentence doesn't necessarily mean an MP will lose their job - so what has to happen first?,job,mp,0.1,0.12,0,0,0.5,the responsibility to do something,a member of the military police who polices soldiers and guards prisoners
